,answers,correct,correct_letter,question,question_POS,source,style-pairs_layer-0,style-single_layer-0,style-pairs_layer-1,style-single_layer-1,style-pairs_layer-2,style-single_layer-2,style-pairs_layer-all,style-single_layer-all
75,"[[['accord', 'nations'], ['n', 'n']], [['code', 'principles'], ['n', 'n']], [['policy', 'officials'], ['n', 'n']], [['debate', 'opinions'], ['n', 'n']], [['offense', 'criminals'], ['n', 'n']]]","[['code', 'principles'], ['n', 'n']]",b,"['ethos', 'values']","['n', 'n']",190 FROM REAL SATs,1,1,0,0,0,0,0,0
76,"[[['wrong', 'apologetic'], ['a', 'a']], [['refracted', 'direct'], ['a', 'a']], [['comic', 'funny'], ['a', 'a']], [['sad', 'empathetic'], ['a', 'a']], [['merry', 'morose'], ['a', 'a']]]","[['comic', 'funny'], ['a', 'a']]",c,"['torpid', 'sluggish']","['a', 'a']",190 FROM REAL SATs,1,1,0,0,0,0,0,0
77,"[[['stamp', 'letter'], ['n', 'n']], [['period', 'dot'], ['n', 'n']], [['key', 'door'], ['n', 'n']], [['compass', 'circle'], ['n', 'n']], [['thermometer', 'degree'], ['n', 'n']]]","[['compass', 'circle'], ['n', 'n']]",d,"['ruler', 'line']","['n', 'n']",190 FROM REAL SATs,0,0,1,1,0,0,0,0
78,"[[['exhaustion', 'slumber'], ['n', 'n']], [['blink', 'eye'], ['n', 'n']], [['snack', 'meal'], ['n', 'n']], [['swallow', 'bite'], ['n', 'n']], [['feast', 'banquet'], ['n', 'n']]]","[['snack', 'meal'], ['n', 'n']]",c,"['catnap', 'sleep']","['n', 'n']",190 FROM REAL SATs,0,0,1,0,0,0,0,0
79,"[[['technician', 'laboratory'], ['n', 'n']], [['student', 'school'], ['n', 'n']], [['administrator', 'hospital'], ['n', 'n']], [['spectator', 'arena'], ['n', 'n']], [['president', 'electorate'], ['n', 'n']]]","[['administrator', 'hospital'], ['n', 'n']]",c,"['manager', 'store']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
80,"[[['safe', 'lock'], ['n', 'n']], [['suitcase', 'clothing'], ['n', 'n']], [['camera', 'film'], ['n', 'n']], [['setting', 'jewel'], ['n', 'n']], [['car', 'engine'], ['n', 'n']]]","[['suitcase', 'clothing'], ['n', 'n']]",b,"['wallet', 'money']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
81,"[[['weigh', 'heavily'], ['v', 'r']], [['assist', 'grudgingly'], ['v', 'r']], [['speak', 'softly'], ['v', 'r']], [['muffle', 'quietly'], ['v', 'r']], [['absorb', 'quickly'], ['v', 'r']]]","[['muffle', 'quietly'], ['v', 'r']]",d,"['lubricate', 'smoothly']","['v', 'r']",190 FROM REAL SATs,0,0,1,1,0,1,0,1
82,"[[['plant', 'tropical'], ['n', 'a']], [['meat', 'carnivorous'], ['n', 'a']], [['snake', 'slippery'], ['n', 'a']], [['dog', 'canine'], ['n', 'a']], [['lung', 'amphibian'], ['n', 'a']]]","[['dog', 'canine'], ['n', 'a']]",d,"['bird', 'avian']","['n', 'a']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
83,"[[['unrealistic', 'understanding'], ['a', 'n']], [['unethical', 'morality'], ['a', 'n']], [['illegible', 'erasure'], ['a', 'n']], [['infinite', 'expansion'], ['a', 'n']], [['factual', 'verification'], ['a', 'n']]]","[['unethical', 'morality'], ['a', 'n']]",b,"['irrational', 'logic']","['a', 'n']",190 FROM REAL SATs,0,0,0,1,1,1,1,1
84,"[[['construction', 'houses'], ['n', 'n']], [['honey', 'bees'], ['n', 'n']], [['map', 'boundaries'], ['n', 'n']], [['train', 'passengers'], ['n', 'n']], [['range', 'mountains'], ['n', 'n']]]","[['range', 'mountains'], ['n', 'n']]",e,"['constellation', 'stars']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
85,"[[['plug', 'insert'], ['n', 'v']], [['clamp', 'grip'], ['n', 'v']], [['saddle', 'straddle'], ['n', 'v']], [['bridge', 'suspend'], ['n', 'v']], [['incinerator', 'warm'], ['n', 'v']]]","[['clamp', 'grip'], ['n', 'v']]",b,"['calculator', 'compute']","['n', 'v']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
86,"[[['belligerent', 'fight'], ['a', 'v']], [['remarkable', 'surprise'], ['a', 'v']], [['charitable', 'receive'], ['a', 'v']], [['antagonistic', 'agree'], ['a', 'v']], [['persuasive', 'believe'], ['a', 'v']]]","[['belligerent', 'fight'], ['a', 'v']]",a,"['extravagant', 'spend']","['a', 'v']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
87,"[[['instructor', 'blackboard'], ['n', 'n']], [['graduate', 'diploma'], ['n', 'n']], [['musician', 'note'], ['n', 'n']], [['painter', 'brush'], ['n', 'n']], [['composer', 'score'], ['n', 'n']]]","[['composer', 'score'], ['n', 'n']]",e,"['architect', 'blueprint']","['n', 'n']",190 FROM REAL SATs,0,0,1,1,1,1,1,1
88,"[[['illustrate', 'manual'], ['v', 'n']], [['hang', 'picture'], ['v', 'n']], [['sew', 'thread'], ['v', 'n']], [['bake', 'oven'], ['v', 'n']], [['write', 'text'], ['v', 'n']]]","[['write', 'text'], ['v', 'n']]",e,"['weave', 'fabric']","['v', 'n']",190 FROM REAL SATs,1,1,0,1,0,1,0,1
89,"[[['leadership', 'follower'], ['n', 'n']], [['proof', 'theorist'], ['n', 'n']], [['expertise', 'authority'], ['n', 'n']], [['contradiction', 'investigator'], ['n', 'n']], [['confiscation', 'official'], ['n', 'n']]]","[['expertise', 'authority'], ['n', 'n']]",c,"['testimony', 'witness']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,1,0,0,0
90,"[[['height', 'statue'], ['n', 'n']], [['depth', 'bottom'], ['n', 'n']], [['song', 'voice'], ['n', 'n']], [['edge', 'sharpness'], ['n', 'n']], [['standard', 'selection'], ['n', 'n']]]","[['standard', 'selection'], ['n', 'n']]",e,"['criterion', 'judgment']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (1) (fix judgment),1,1,1,1,1,1,1,1
91,"[[['outline', 'story'], ['n', 'n']], [['plot', 'fiction'], ['n', 'n']], [['page', 'paper'], ['n', 'n']], [['paragraph', 'book'], ['n', 'n']], [['abstract', 'report'], ['n', 'n']]]","[['abstract', 'report'], ['n', 'n']]",e,"['abbreviation', 'word']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (2),0,0,0,1,0,0,0,0
92,"[[['proud', 'winner'], ['a', 'n']], [['choleric', 'anger'], ['a', 'n']], [['artistic', 'work'], ['a', 'n']], [['ironic', 'wrath'], ['a', 'n']], [['prolific', 'author'], ['a', 'n']]]","[['choleric', 'anger'], ['a', 'n']]",b,"['avaricious', 'greed']","['a', 'n']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (3),0,0,1,0,0,0,0,0
93,"[[['carnal', 'active'], ['a', 'a']], [['genial', 'amiable'], ['a', 'a']], [['insomnia', 'sleepy'], ['n', 'a']], [['pacify', 'peace'], ['v', 'n']], [['liveliness', 'careful'], ['n', 'a']]]","[['genial', 'amiable'], ['a', 'a']]",b,"['animosity', 'hatred']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (4),0,0,0,0,0,0,0,0
94,"[[['teacher', 'chalk'], ['n', 'n']], [['carpenter', 'wood'], ['n', 'n']], [['soldier', 'gun'], ['n', 'n']], [['photograph', 'camera'], ['n', 'n']], [['book', 'word'], ['n', 'n']]]","[['carpenter', 'wood'], ['n', 'n']]",b,"['mason', 'stone']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (5),1,1,1,1,1,1,1,1
95,"[[['mean', 'gauge'], ['a', 'n']], [['huge', 'weight'], ['a', 'n']], [['exact', 'measure'], ['a', 'n']], [['exotic', 'accord'], ['a', 'n']], [['anomalous', 'model'], ['a', 'n']]]","[['anomalous', 'model'], ['a', 'n']]",e,"['precarious', 'stability']","['a', 'n']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (6),0,0,0,0,0,0,0,0
96,"[[['octagon', 'eight'], ['n', 'n']], [['entreat', 'gift'], ['v', 'v']], [['normal', 'mean'], ['n', 'n']], [['centennial', 'year'], ['n', 'n']], [['benediction', 'church'], ['n', 'n']]]","[['centennial', 'year'], ['n', 'n']]",d,"['binomial', 'name']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (7),1,1,0,0,0,0,0,0
97,"[[['computer', 'brain'], ['n', 'n']], [['telescope', 'eye'], ['n', 'n']], [['book', 'library'], ['n', 'n']], [['clock', 'time'], ['n', 'n']], [['keyboard', 'finger'], ['n', 'n']]]","[['telescope', 'eye'], ['n', 'n']]",b,"['amplifier', 'ear']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (8),1,1,1,1,1,1,1,1
98,"[[['gaunt', 'rotund'], ['a', 'a']], [['wary', 'angry'], ['a', 'a']], [['thin', 'elongated'], ['a', 'a']], [['proud', 'arrogant'], ['a', 'a']], [['libel', 'free'], ['v', 'v']]]","[['gaunt', 'rotund'], ['a', 'a']]",a,"['opaque', 'transparent']","['a', 'a']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (9),0,0,1,0,0,1,1,0
99,"[[['sharp', 'pointed'], ['a', 'a']], [['one', 'unit'], ['n', 'n']], [['round', 'square'], ['a', 'a']], [['strong', 'weak'], ['a', 'a']], [['smell', 'good'], ['n', 'a']]]","[['strong', 'weak'], ['a', 'a']]",d,"['rife', 'singular']","['a', 'a']",ML: http://www.kagi.com/edicom/edu/sat_51.htm (10),0,0,0,0,0,0,0,0
100,"[[['school', 'fish'], ['n', 'n']], [['venison', 'deer'], ['n', 'n']], [['oxen', 'cow'], ['n', 'n']], [['peak', 'mountain'], ['n', 'n']], [['skin', 'lion'], ['n', 'n']]]","[['school', 'fish'], ['n', 'n']]",a,"['swarm', 'bee']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (1),1,1,0,1,0,0,0,0
101,"[[['quest', 'search'], ['v', 'v']], [['ask', 'interrogate'], ['v', 'v']], [['testify', 'perjure'], ['v', 'v']], [['buy', 'sell'], ['v', 'v']], [['ask', 'donate'], ['v', 'v']]]","[['testify', 'perjure'], ['v', 'v']]",c,"['obtain', 'steal']","['v', 'v']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (2),0,0,0,1,1,1,1,1
102,"[[['ironic', 'wrath'], ['a', 'n']], [['proud', 'prize'], ['a', 'n']], [['artistic', 'work'], ['a', 'n']], [['ungainly', 'skill'], ['a', 'n']], [['prolific', 'design'], ['a', 'n']]]","[['ungainly', 'skill'], ['a', 'n']]",d,"['inadvertent', 'thought']","['a', 'n']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (3),0,0,1,1,1,1,1,1
103,"[[['carnal', 'active'], ['a', 'a']], [['prejudice', 'tolerance'], ['n', 'n']], [['generosity', 'kindness'], ['n', 'n']], [['rivalry', 'noise'], ['n', 'n']], [['liveliness', 'patience'], ['n', 'n']]]","[['prejudice', 'tolerance'], ['n', 'n']]",b,"['parsimony', 'philanthropy']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (4),0,0,0,0,0,1,0,1
104,"[[['ability', 'skill'], ['n', 'n']], [['confidence', 'conceit'], ['n', 'n']], [['intelligence', 'capability'], ['n', 'n']], [['surprise', 'horror'], ['n', 'n']], [['pleasure', 'blessing'], ['n', 'n']]]","[['confidence', 'conceit'], ['n', 'n']]",b,"['devotion', 'obsession']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (5),0,0,1,1,1,1,1,1
105,"[[['gift', 'recipient'], ['n', 'n']], [['huge', 'weight'], ['a', 'n']], [['painting', 'artist'], ['n', 'n']], [['payment', 'donor'], ['n', 'n']], [['measure', 'gauge'], ['n', 'n']]]","[['gift', 'recipient'], ['n', 'n']]",a,"['bequest', 'heir']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (6),0,0,0,0,0,0,0,0
106,"[[['normal', 'mean'], ['a', 'a']], [['powerful', 'omnipotent'], ['a', 'a']], [['ephemeral', 'eternal'], ['a', 'a']], [['octagon', 'eight'], ['n', 'n']], [['beneficent', 'strong'], ['a', 'a']]]","[['ephemeral', 'eternal'], ['a', 'a']]",c,"['prosaic', 'epic']","['a', 'a']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (7) (spell corrected prosaic),1,1,1,1,0,1,0,1
107,"[[['broken', 'contract'], ['a', 'n']], [['written', 'rule'], ['a', 'n']], [['outdated', 'book'], ['a', 'n']], [['adjusted', 'clock'], ['a', 'n']], [['corrupted', 'morality'], ['a', 'n']]]","[['corrupted', 'morality'], ['a', 'n']]",e,"['corroded', 'alloy']","['a', 'n']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (8),1,1,1,1,1,1,1,1
108,"[[['eulogize', 'hero'], ['v', 'n']], [['inaugurate', 'mayor'], ['v', 'n']], [['promote', 'general'], ['v', 'n']], [['unfrock', 'minister'], ['v', 'n']], [['elect', 'leader'], ['v', 'n']]]","[['unfrock', 'minister'], ['v', 'n']]",d,"['depose', 'king']","['v', 'n']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (9),1,1,0,0,0,0,0,0
109,"[[['weak', 'strong'], ['a', 'a']], [['formidable', 'strong'], ['a', 'a']], [['round', 'square'], ['a', 'a']], [['sharp', 'pointed'], ['a', 'a']], [['stately', 'grand'], ['a', 'a']]]","[['weak', 'strong'], ['a', 'a']]",a,"['gauche', 'adroit']","['a', 'a']",ML: http://www.kagi.com/edicom/edu/sat_52.htm (10),1,1,1,1,0,1,1,1
110,"[[['ridge', 'mountain'], ['n', 'n']], [['pride', 'lion'], ['n', 'n']], [['oxen', 'cow'], ['n', 'n']], [['chair', 'furniture'], ['n', 'n']], [['mammal', 'horse'], ['n', 'n']]]","[['chair', 'furniture'], ['n', 'n']]",d,"['archeology', 'science']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (1),0,0,0,0,0,0,0,0
111,"[[['happy', 'hostile'], ['a', 'a']], [['elated', 'deaden'], ['a', 'a']], [['sincere', 'satisfied'], ['a', 'a']], [['emotional', 'accord'], ['a', 'n']], [['cheerful', 'hilarious'], ['a', 'a']]]","[['cheerful', 'hilarious'], ['a', 'a']]",e,"['apprehensive', 'petrified']","['a', 'a']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (2),1,1,1,0,0,0,0,0
112,"[[['take', 'move'], ['v', 'v']], [['stagnate', 'flow'], ['v', 'v']], [['run', 'walk'], ['v', 'v']], [['sleep', 'rest'], ['v', 'v']], [['create', 'design'], ['v', 'v']]]","[['stagnate', 'flow'], ['v', 'v']]",b,"['stay', 'depart']","['v', 'v']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (3),1,1,0,0,0,0,0,0
113,"[[['ovation', 'adulation'], ['n', 'n']], [['hobble', 'movement'], ['n', 'n']], [['generosity', 'kindness'], ['n', 'n']], [['fighting', 'noise'], ['n', 'n']], [['brightness', 'sight'], ['n', 'n']]]","[['hobble', 'movement'], ['n', 'n']]",b,"['stammer', 'speech']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (4),1,1,1,1,1,1,1,1
114,"[[['ability', 'question'], ['n', 'n']], [['enigma', 'puzzle'], ['n', 'n']], [['intelligence', 'capability'], ['n', 'n']], [['strong', 'weak'], ['a', 'a']], [['pleasure', 'blessing'], ['n', 'n']]]","[['enigma', 'puzzle'], ['n', 'n']]",b,"['corpulence', 'obesity']","['n', 'n']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (5),1,1,1,1,0,0,1,1
115,"[[['painting', 'artist'], ['n', 'n']], [['heavy', 'weight'], ['a', 'n']], [['barren', 'fruit'], ['a', 'n']], [['gift', 'donor'], ['n', 'n']], [['measure', 'ounce'], ['n', 'n']]]","[['barren', 'fruit'], ['a', 'n']]",c,"['callow', 'experience']","['a', 'n']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (6),1,1,1,0,0,0,0,0
116,"[[['normal', 'mean'], ['a', 'a']], [['powerful', 'omnipotent'], ['a', 'a']], [['abstemious', 'overindulgent'], ['a', 'a']], [['rife', 'vogue'], ['a', 'a']], [['beneficial', 'strong'], ['a', 'a']]]","[['abstemious', 'overindulgent'], ['a', 'a']]",c,"['indolent', 'assiduous']","['a', 'a']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (7),0,0,0,0,1,0,0,0
117,"[[['fragrant', 'flower'], ['a', 'n']], [['acrid', 'taste'], ['a', 'n']], [['outdated', 'book'], ['a', 'n']], [['adjusted', 'clock'], ['a', 'n']], [['broken', 'glass'], ['a', 'n']]]","[['acrid', 'taste'], ['a', 'n']]",b,"['strident', 'sound']","['a', 'n']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (8),1,1,0,1,0,1,0,1
118,"[[['selection', 'decisive'], ['n', 'a']], [['food', 'alive'], ['n', 'a']], [['promotion', 'public'], ['n', 'a']], [['comment', 'eulogize'], ['n', 'v']], [['congregation', 'alone'], ['n', 'a']]]","[['congregation', 'alone'], ['n', 'a']]",e,"['rehearsal', 'impromptu']","['n', 'a']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (9),0,0,0,0,0,0,0,0
119,"[[['interrogate', 'prosecute'], ['v', 'v']], [['deface', 'kill'], ['v', 'v']], [['testify', 'subpoena'], ['v', 'v']], [['good', 'bad'], ['a', 'a']], [['steal', 'confiscate'], ['v', 'v']]]","[['steal', 'confiscate'], ['v', 'v']]",e,"['lynch', 'execute']","['v', 'v']",ML: http://www.kagi.com/edicom/edu/sat_53.htm (10),0,0,0,0,1,1,1,0
120,"[[['silent', 'loud'], ['a', 'a']], [['annoying', 'obnoxious'], ['a', 'a']], [['clear', 'ostentatious'], ['a', 'a']], [['legible', 'published'], ['a', 'a']], [['edible', 'poisonous'], ['a', 'a']]]","[['annoying', 'obnoxious'], ['a', 'a']]",b,"['audible', 'blaring']","['a', 'a']",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (1),0,0,0,0,0,0,0,0
121,"[[['evening', 'night'], ['n', 'n']], [['earthquake', 'tornado'], ['n', 'n']], [['candor', 'falsehood'], ['n', 'n']], [['heroism', 'praise'], ['n', 'n']], [['fine', 'penalty'], ['n', 'n']]]","[['heroism', 'praise'], ['n', 'n']]",d,"['insubordination', 'punishment']","['n', 'n']",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (2),0,0,0,1,1,0,1,0
122,"[[['soldier', 'strength'], ['n', 'n']], [['prisoner', 'remorse'], ['n', 'n']], [['expert', 'skill'], ['n', 'n']], [['servant', 'obedience'], ['n', 'n']], [['parent', 'wisdom'], ['n', 'n']]]","[['expert', 'skill'], ['n', 'n']]",c,"['enthusiast', 'fervor']","['n', 'n']",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (3),1,1,1,1,1,1,1,1
123,"[[['pauper', 'wealth'], ['n', 'n']], [['vehicle', 'wheels'], ['n', 'n']], [['drop', 'out'], ['v', 'r']], [['weather', 'mutability'], ['n', 'n']], [['nurse', 'information'], ['n', 'n']]]","[['pauper', 'wealth'], ['n', 'n']]",a,"['novice', 'experience']","['n', 'n']",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (4),0,0,1,1,1,1,1,1
124,"[[['omen', 'evil'], ['n', 'n']], [['garb', 'rank'], ['n', 'n']], [['signal', 'warning'], ['n', 'n']], [['visage', 'countenance'], ['n', 'n']], [['hate', 'love'], ['n', 'n']]]","[['visage', 'countenance'], ['n', 'n']]",d,"['talisman', 'charm']","['n', 'n']",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (5),0,0,1,1,1,1,1,0
125,"[[['stem', 'leaves'], ['n', 'n']], [['teacher', 'student'], ['n', 'n']], [['mother', 'aunt'], ['n', 'n']], [['cloud', 'rain'], ['n', 'n']], [['parent', 'offspring'], ['n', 'n']]]","[['parent', 'offspring'], ['n', 'n']]",e,"['progenitor', 'descendant']","['n', 'n']",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (6),0,0,0,0,0,0,0,0
126,"[[['retribution', 'infamy'], ['n', 'n']], [['death', 'funeral'], ['n', 'n']], [['poverty', 'wealth'], ['n', 'n']], [['contempt', 'anger'], ['n', 'n']], [['ruse', 'plan'], ['n', 'n']]]","[['poverty', 'wealth'], ['n', 'n']]",c,"['dearth', 'abundance']","['n', 'n']",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (7),0,0,0,0,0,1,0,1
127,"[[['power', 'fame'], ['n', 'n']], [['east', 'west'], ['n', 'n']], [['indifference', 'nonchalance'], ['n', 'n']], [['pride', 'shame'], ['n', 'n']], [['royalty', 'nobility'], ['n', 'n']]]","[['pride', 'shame'], ['n', 'n']]",d,"['eminence', 'infamy']","['n', 'n']",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (8),0,0,1,0,1,1,1,0
128,"[[['effectual', 'able'], ['a', 'a']], [['expensive', 'exorbitant'], ['a', 'a']], [['ghastly', 'gruesome'], ['a', 'a']], [['conspicuous', 'sullied'], ['a', 'a']], [['bold', 'tremulous'], ['a', 'a']]]","[['expensive', 'exorbitant'], ['a', 'a']]",b,"['vivid', 'lurid']","['a', 'a']","ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (9) (spell corrected ""conspiculous"")",1,1,0,0,0,1,0,0
129,"[[['indifference', 'callous'], ['n', 'a']], [['caution', 'reckless'], ['n', 'a']], [['concern', 'affectionate'], ['n', 'a']], [['friendliness', 'congenial'], ['n', 'a']], [['spontaneity', 'whimsical'], ['n', 'a']]]","[['caution', 'reckless'], ['n', 'a']]",b,"['caprice', 'predictable']","['n', 'a']","ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (10) (spell corrected ""spontaneity"")",0,0,0,0,0,0,0,0
130,"[[['cantankerous', 'testiness'], ['a', 'n']], [['ornamental', 'flourishes'], ['a', 'n']], [['susceptible', 'resistance'], ['a', 'n']], [['flexible', 'strength'], ['a', 'n']], [['conclusive', 'results'], ['a', 'n']]]","[['susceptible', 'resistance'], ['a', 'n']]",c,"['precarious', 'stability']","['a', 'n']",ML: http://www.collegeboard.org/sat/center/q0101/113q.html (medium),0,0,0,0,0,0,0,0
131,"[[['charlatan', 'impostor'], ['n', 'n']], [['pretender', 'monarch'], ['n', 'n']], [['defendant', 'prosecutor'], ['n', 'n']], [['arbitrator', 'judge'], ['n', 'n']], [['professional', 'amateur'], ['n', 'n']]]","[['pretender', 'monarch'], ['n', 'n']]",b,"['quack', 'doctor']","['n', 'n']",ML: http://www.collegeboard.org/sat/center/q1000/113q.html (hard),0,0,0,0,0,0,0,0
132,"[[['focused', 'attentive'], ['a', 'a']], [['rash', 'prudent'], ['a', 'a']], [['considerate', 'angry'], ['a', 'a']], [['controversial', 'argumentative'], ['a', 'a']], [['fortunate', 'complacent'], ['a', 'a']]]","[['rash', 'prudent'], ['a', 'a']]",b,"['hapless', 'lucky']","['a', 'a']",ML: http://www.collegeboard.org/sat/center/q0501/v_a_1q.html (hard),0,0,0,1,0,1,0,1
133,"[[['accuse', 'offense'], ['v', 'n']], [['punish', 'reward'], ['v', 'n']], [['extricate', 'freedom'], ['v', 'n']], [['camouflage', 'identity'], ['v', 'n']], [['rescue', 'danger'], ['v', 'n']]]","[['rescue', 'danger'], ['v', 'n']]",e,"['acquit', 'charge']","['v', 'n']",ML: http://www.collegeboard.org/sat/center/q0501/v_a_2q.html (hard),1,1,0,1,0,0,0,0
134,"[[['deferential', 'scorn'], ['a', 'n']], [['malevolent', 'influence'], ['a', 'n']], [['indomitable', 'defeat'], ['a', 'n']], [['stoic', 'hardship'], ['a', 'n']], [['frivolous', 'giddiness'], ['a', 'n']]]","[['frivolous', 'giddiness'], ['a', 'n']]",e,"['judicious', 'prudence']","['a', 'n']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va,0,0,0,0,0,1,0,1
135,"[[['contrived', 'plot'], ['a', 'n']], [['desultory', 'direction'], ['a', 'n']], [['durable', 'structure'], ['a', 'n']], [['frenetic', 'activity'], ['a', 'n']], [['dejected', 'sympathy'], ['a', 'n']]]","[['desultory', 'direction'], ['a', 'n']]",b,"['lethargic', 'energy']","['a', 'n']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va&12&q,0,0,0,0,0,0,0,0
136,"[[['diamond', 'hard'], ['n', 'a']], [['ocean', 'nautical'], ['n', 'a']], [['iron', 'rusty'], ['n', 'a']], [['sandpaper', 'smooth'], ['n', 'a']], [['water', 'irrigated'], ['n', 'a']]]","[['diamond', 'hard'], ['n', 'a']]",a,"['elastic', 'flexible']","['n', 'a']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va&11&q,1,1,0,0,0,0,0,0
137,"[[['deviate', 'individuality'], ['v', 'n']], [['corrupt', 'purity'], ['v', 'n']], [['judge', 'verdict'], ['v', 'n']], [['shock', 'amazement'], ['v', 'n']], [['threaten', 'attack'], ['v', 'n']]]","[['corrupt', 'purity'], ['v', 'n']]",b,"['unnerve', 'composure']","['v', 'n']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va&10&q,1,1,0,1,0,1,0,1
138,"[[['exemption', 'participation'], ['n', 'n']], [['injury', 'pain'], ['n', 'n']], [['labor', 'recreation'], ['n', 'n']], [['immunity', 'disease'], ['n', 'n']], [['transformation', 'deterioration'], ['n', 'n']]]","[['injury', 'pain'], ['n', 'n']]",b,"['overexertion', 'fatigue']","['n', 'n']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va&9&q,0,0,0,0,1,1,1,1
139,"[[['implement', 'accomplish'], ['v', 'v']], [['suggest', 'command'], ['v', 'v']], [['hinder', 'facilitate'], ['v', 'v']], [['filter', 'separate'], ['v', 'v']], [['oppose', 'disagree'], ['v', 'v']]]","[['suggest', 'command'], ['v', 'v']]",b,"['encourage', 'coerce']","['v', 'v']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va&8&q,1,1,0,1,1,1,1,1
140,"[[['athlete', 'prowess'], ['n', 'n']], [['thief', 'felony'], ['n', 'n']], [['gossip', 'reserve'], ['n', 'n']], [['preacher', 'oratory'], ['n', 'n']], [['gourmet', 'cuisine'], ['n', 'n']]]","[['gossip', 'reserve'], ['n', 'n']]",c,"['bungler', 'finesse']","['n', 'n']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va&7&q,0,0,0,0,0,0,0,0
141,"[[['fireplace', 'wood'], ['n', 'n']], [['curtain', 'stage'], ['n', 'n']], [['shutter', 'light'], ['n', 'n']], [['sieve', 'liquid'], ['n', 'n']], [['window', 'glass'], ['n', 'n']]]","[['window', 'glass'], ['n', 'n']]",e,"['drapery', 'fabric']","['n', 'n']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va&6&q,0,0,0,0,0,0,0,0
142,"[[['anthology', 'poem'], ['n', 'n']], [['rave', 'critic'], ['n', 'n']], [['collector', 'painting'], ['n', 'n']], [['performance', 'play'], ['n', 'n']], [['hit', 'song'], ['a', 'n']]]","[['hit', 'song'], ['a', 'n']]",e,"['best', 'seller']","['a', 'n']",ML: http://www.collegeboard.org/psat/student/bin/practice.cgi?va&5&q,0,0,0,0,0,0,0,0
